Year;Month;Day;tmmn(degC);tmmx(degC);rmax(%);rmin(%)
1990;5;4;5,43;24,04;70,35117;21,9102
1990;5;5;8,81;27,04;48,76975;16,8276
1990;5;6;8,22;24,48;60,44466;13,67578
1990;5;7;0,41;15,81;66,90438;15,59184
1990;5;8;-2,53;14,41;72,37222;15,9194
1990;5;9;-0,91;19,96;54,85638;15,77027
1990;5;10;4,16;21,41;48,62817;14,61163
1990;5;11;3,21;17,4;74,66319;17,28329
1990;5;12;1,8;18,25;71,24991;22,47921
1990;5;13;0,93;18,73;76,18598;20,10885
1990;5;14;3,31;17,59;64,95469;18,66732
1990;5;15;0,33;16,77;64,64449;17,76806
1990;5;16;1,91;20,96;51,59123;17,94015
1990;5;17;5,27;21,6;53,70842;16,02261
1990;5;18;2,46;18,25;68,07995;16,28589
1990;5;19;4,48;16,42;71,42487;23,84141
1990;5;20;3,64;13,93;81,46306;27,75412
1990;5;21;4,14;20,55;84,9714;34,13885
1990;5;22;6,27;18,26;86,53919;30,56962
1990;5;23;6,45;16,24;93,2467;32,7924
1990;5;24;1,84;13,24;87,62422;31,94258
1990;5;25;3,41;18,18;71,91827;29,32322
1990;5;26;5,55;16,38;98,21267;26,87192
1990;5;27;3,46;15,09;99,98971;45,87873
1990;5;28;4,24;16,39;99,9967;47,05503
1990;5;29;4,49;16,33;99,44002;45,97669
1990;5;30;4,9;15,99;94,04883;41,79818
1990;5;31;0,88;10,66;92,55078;39,48433
1990;6;1;-1,32;15,93;99,66957;38,22782
1990;6;2;4,97;21,27;87,57287;34,58724
1990;6;3;7,63;24,19;81,90495;25,66497
1990;6;4;5,26;23,77;91,28698;23,93377
1990;6;5;5,36;23,83;67,44926;19,71372
1990;6;6;7,74;21,94;87,10508;20,56033
1990;6;7;5,35;24,32;99,59792;33,66593
1990;6;8;8,65;27,92;79,33611;23,99345
1990;6;9;11,35;29,19;52,00812;18,67543
1990;6;10;11,26;23,54;74,64783;17,78138
1990;6;11;3,56;21,44;81,40469;18,92431
1990;6;12;3,09;18,33;77,68529;17,15165
1990;6;13;1,99;19,03;80,28741;23,66141
1990;6;14;5,17;20,65;79,70017;24,74002
1990;6;15;6,08;21,75;64,61163;23,59978
1990;6;16;7,07;24,19;77,02804;24,44371
1990;6;17;8,29;25,17;80,94544;21,03937
1990;6;18;8,55;25,72;73,78207;19,24753
1990;6;19;8,88;28,03;73,09609;22,65703
1990;6;20;11,43;30,68;65,59857;21,76849
1990;6;21;13,49;33,33;52,56753;15,93971
1990;6;22;15,6;31,96;46,599;13,5464
1990;6;23;10,39;31,42;56,12504;12,55286
1990;6;24;11,78;30,98;50,21528;11,02166
1990;6;25;10,48;30,95;60,51541;12,67153
1990;6;26;10,34;29,9;53,37852;12,35864
1990;6;27;9,81;28,49;47,7803;12,12669
1990;6;28;8,96;29,48;59,0947;13,27235
1990;6;29;12,62;32,26;49,44679;13,63737
1990;6;30;10,02;31,34;62,84219;12,19796
1990;7;1;11,61;31,7;58,026;13,53277
1990;7;2;11,51;26,07;70,78663;16,73763
1990;7;3;5,63;27,32;71,34683;16,29089
1990;7;4;8,56;27,68;65,92405;14,50816
1990;7;5;7,67;27,41;73,10035;14,31727
1990;7;6;6,62;26,99;94,38012;17,87023
1990;7;7;7,75;30,17;62,91467;16,63607
1990;7;8;11,34;32,46;54,77925;15,21823
1990;7;9;11,98;32,59;71,53394;15,13776
1990;7;10;14,47;33,88;49,1934;16,78012
1990;7;11;16,9;34,9;47,66359;16,27283
1990;7;12;17,91;33,9;52,10768;15,46992
1990;7;13;18,15;35,36;60,83316;21,44362
1990;7;14;16,47;34,4;67,67209;19,10707
1990;7;15;15,55;34,32;54,1701;17,70334
1990;7;16;16,32;34,5;45,76215;15,74141
1990;7;17;15,86;32,06;52,48225;16,07574
1990;7;18;14,54;31,55;74,82448;20,82539
1990;7;19;15,89;31,84;73,24891;23,5204
1990;7;20;13,91;31,32;87,54874;21,59089
1990;7;21;14,05;32,31;60,71241;21,29874
1990;7;22;15,44;34,28;49,33945;17,01181
1990;7;23;13,29;30,83;65,56098;15,62157
1990;7;24;9,51;26,64;58,58481;15,25872
1990;7;25;7,65;25,06;78,6105;19,93594
1990;7;26;7,15;26,95;77,2582;22,20651
1990;7;27;11,08;30,63;55,50512;19,98472
1990;7;28;12,76;33,12;51,96541;16,7046
1990;7;29;14,38;34,48;45,22365;13,03728
1990;7;30;14,7;33,71;49,01693;11,53876
1990;7;31;12,21;31,26;62,40586;13,61311
1990;8;1;12,32;30,74;62,40477;17,41836
1990;8;2;11,76;31,17;51,98329;15,18872
1990;8;3;12,08;32,06;47,46463;14,33164
1990;8;4;14,22;34,75;42,93628;13,30204
1990;8;5;15,71;35,91;43,04748;12,4526
1990;8;6;17,96;36,58;41,65291;11,96337
1990;8;7;17,27;36,67;39,28247;10,87083
1990;8;8;17,81;35,82;38,98372;11,13529
1990;8;9;16,91;34,27;52,29253;13,48138
1990;8;10;15,87;33,07;58,80556;17,68411
1990;8;11;15,16;32,83;54,24449;18,39974
1990;8;12;15,03;32,6;56,24709;20,02405
1990;8;13;15,42;33,45;49,27344;17,59032
1990;8;14;16,02;34,59;42,20286;14,82305
1990;8;15;15,23;30,16;52,28533;13,56345
1990;8;16;9,43;26,76;75,82405;15,89961
1990;8;17;8,15;24,12;91,64709;24,58698
1990;8;18;8,6;21,63;93,55308;32,78837
1990;8;19;6,49;20,67;94,75382;29,98993
1990;8;20;5,14;20,65;99,35608;30,58129
1990;8;21;7,07;23,69;87,55113;32,18785
1990;8;22;7,99;25,3;91,10178;29,53116
1990;8;23;10,57;27,2;80,86089;29,29635
1990;8;24;9,89;25,86;86,73242;21,49115
1990;8;25;5,88;22,42;77,90946;18,40634
1990;8;26;5,38;22,07;89,99336;21,87743
1990;8;27;7,01;26,07;85,01879;27,83203
1990;8;28;9,12;29,28;72,70964;18,71862
1990;8;29;11,13;28,25;52,81944;14,67791
1990;8;30;8,6;24,29;86,22652;15,51593
1990;8;31;7,22;27,58;59,70846;21,71576
1990;9;1;9,74;30,77;58,7543;18,01584
1990;9;2;9,36;29,59;63,48038;14,47014
1990;9;3;9,74;29,18;53,23746;14,04414
1990;9;4;9,68;29,98;51,87795;14,75894
1990;9;5;10,42;30,12;49,19922;14,35981
1990;9;6;13,21;29,39;50,11693;14,95378
1990;9;7;12,13;30,5;60,44249;19,06476
1990;9;8;9,92;29,98;65,48594;15,07387
1990;9;9;10,27;31,26;53,71393;14,47591
1990;9;10;12,31;33,15;44,73338;13,66198
1990;9;11;11;30,65;48,89952;12,57535
1990;9;12;10,18;29,38;53,33368;13,71953
1990;9;13;8,41;30,15;56,72582;12,23724
1990;9;14;10,25;28,16;50,45104;11,31875
1990;9;15;4,99;23,7;69,45347;11,51797
1990;9;16;3,74;23,57;77,82912;18,60764
1990;9;17;6,92;22,62;69,56315;19,96905
1990;9;18;7,64;24,62;69,66011;24,50095
1990;9;19;6,29;24,6;76,99015;20,5816
1990;9;20;5,06;24,02;75,55082;19,24696
1990;9;21;4,99;25,59;72,76966;20,32904
1990;9;22;7,3;25,15;58,56667;18,36762
1990;9;23;8,87;24,2;81,93919;26,34193
1990;9;24;7,6;24,22;94,08242;30,86962
1990;9;25;7,82;22,42;95,31714;28,00269
1990;9;26;6,29;20,74;99,79431;30,94158
1990;9;27;5,32;24,04;99,48251;37,2714
1990;9;28;6,53;25,4;96,07904;29,89444
1990;9;29;6,56;25,49;89,06619;25,58624
1990;9;30;7,7;26,49;75,88811;23,90282
1990;10;1;8,57;27,02;56,73277;17,84288
1990;10;2;4,49;19,91;89,68355;19,49748
1990;10;3;1,59;21,55;69,29392;24,91029
1990;10;4;5,3;25,7;81,16319;23,33885
1990;10;5;6,6;21,99;80,8128;20,29444
1990;10;6;0,65;15,54;92,79757;29,2112
1990;10;7;-5,12;11,53;84,05612;24,93724
1990;10;8;-4,49;14,69;76,52539;15,81467
1990;10;9;-1,95;19,6;45,63325;14,30152
1990;10;10;0,75;19,98;54,78898;12,98511
1990;10;11;-2;16,59;78,7053;14,76302
1990;10;12;-0,35;20,04;52,68433;17,61493
1990;10;13;0,85;17,49;82,1773;19,0339
1990;10;14;0,69;21,21;70,96363;18,18555
1990;10;15;3,77;21,2;76,56406;17,33064
1990;10;16;1,25;15,78;95,21163;27,65312
1990;10;17;-4,07;17,73;66,49028;17,82127
1990;10;18;2,91;15,04;70,15126;17,227
1990;10;19;-2,74;11,49;99,57856;33,18915
1990;10;20;-6,22;11,25;93,44553;27,21107
1990;10;21;-3,5;16,72;59,61055;18,52973
1990;10;22;2,56;17,16;91,0816;21,71775
1990;10;23;0,61;19,18;95,88138;32,86098
1990;10;24;2,63;22,81;87,47374;25,66476
1990;10;25;3,95;22,81;69,23715;17,53811
1990;10;26;5,28;21,32;55,46085;16,12795
1990;10;27;1,75;21,42;58,53082;16,29049
1990;10;28;3,55;20,32;60,73012;15,66259
1990;10;29;1,24;19,09;81,67196;21,80977
1990;10;30;1,47;17,46;82,7424;22,73785
1990;10;31;1,1;12,4;87,33542;28,51198
1990;11;1;-4,5;7,63;96,02717;34,41567
1990;11;2;-8,29;5,92;83,08824;24,09032
1990;11;3;-8,59;9,47;80,66254;25,77977
1990;11;4;-5,08;10,26;86,85252;21,69514
1990;11;5;-4,36;8,97;98,85304;30,99549
1990;11;6;-7,34;6,02;97,33941;29,2339
1990;11;7;-9,38;7,5;91,56853;28,24874
1990;11;8;-1,09;13,81;85,32548;28,15078
1990;11;9;-2,93;14,8;99,47786;28,29141
1990;11;10;-2,04;15,9;66,78238;21,07365
1990;11;11;-1,65;16,42;51,68372;17,20664
1990;11;12;-2,11;15,36;44,13095;14,86267
1990;11;13;-1,5;16,42;44,17179;13,61502
1990;11;14;0,11;13,11;66,86063;15,94405
1990;11;15;-6,49;9,42;99,87869;28,05191
1990;11;16;-6,48;11,65;90,40113;31,18468
1990;11;17;-0,07;13,14;78,29028;30,7112
1990;11;18;-1,02;10,9;97,65286;32,08798
1990;11;19;-2,78;11,37;97,9523;35,49132
1990;11;20;-6,73;6,51;97,43138;34,30673
1990;11;21;-7,4;6,61;98,92969;45,56901
1990;11;22;-7,07;8,74;99,71372;43,96098
1990;11;23;-5,25;11,7;84,71076;27,12643
1990;11;24;-5,02;11,17;68,20317;20,69501
1990;11;25;-4,09;9,33;83,89492;13,70312
1990;11;26;-10,32;3,63;99,69913;41,02752
1990;11;27;-12,21;2,35;99,54727;48,27726
1990;11;28;-10,35;3,56;98,94405;48,75816
1990;11;29;-7,56;7,43;97,44232;44,30985
1990;11;30;-5,95;6,78;95,15078;39,56354
1990;12;1;-8,67;5,42;90,86975;26,06966
1990;12;2;-10,37;3,13;86,87426;26,79718
1990;12;3;-8,03;5,86;68,62878;25,79939
1990;12;4;-7,21;8,4;69,16137;25,9171
1990;12;5;-6,82;5,99;90,14332;26,03607
1990;12;6;-9,96;4,69;88,84032;28,40612
1990;12;7;-9,44;5,66;82,42179;29,3615
1990;12;8;-6,46;8,16;65,1957;25,49245
1990;12;9;-6,03;9,06;64,5951;23,36406
1990;12;10;-3,54;6,32;82,73286;20,00868
1990;12;11;-4,93;6,61;98,66606;40,00638
1990;12;12;-8,26;4,72;94,65612;41,34714
1990;12;13;-8,61;1,09;99,77821;42,06732
1990;12;14;-12,04;0,29;93,20321;37,6717
1990;12;15;-10,34;1,01;96,07977;40,54918
1990;12;16;-8,99;1,23;98,63559;46,7464
1990;12;17;-10,11;2,39;98,78016;52,7964
1990;12;18;-7,65;3,72;99,04188;55,53251
1990;12;19;-13,72;0,9;98,33307;35,97066
1990;12;20;-17,93;-7,1;93,10673;34,60482
1990;12;21;-21,77;-10,78;87,69223;37,17565
1990;12;22;-25,36;-11,72;90,68003;37,14384
1990;12;23;-25,37;-12,82;98,58464;41,14735
1990;12;24;-25,42;-10,3;98,02422;50,35408
1990;12;25;-19,98;-6,65;98,71519;54,55968
1990;12;26;-16,35;-2,96;99,29948;61,93997
1990;12;27;-16,81;-2,48;98,97574;54,41293
1990;12;28;-14,55;-1,74;98,7398;51,11502
1990;12;29;-19,88;-5,45;98,83251;43,2112
1990;12;30;-22,63;-8,45;94,51875;40,15634
1990;12;31;-15,7;-4,03;97,80282;49,66723
1991;1;1;-13,62;-0,74;95,10113;38,63789
1991;1;2;-13,59;-0,32;93,28967;38,34076
1991;1;3;-12,94;0,28;93,43325;43,46801
1991;1;4;-12,19;0,82;94,85438;43,32904
1991;1;5;-12,08;1;93,44119;48,38485
1991;1;6;-12,53;0,98;95,8237;50,37001
1991;1;7;-9,24;2,15;98,27665;55,13116
1991;1;8;-10,85;2,41;98,59145;56,15829
1991;1;9;-10,81;2,35;98,7451;55,42934
1991;1;10;-9,01;1,86;99,58824;55,44731
1991;1;11;-6,79;5,77;98,64492;55,29388
1991;1;12;-3,25;7,02;98,44119;52,57305
1991;1;13;-1,79;7,81;98,47674;57,05386
1991;1;14;-3,42;8,01;98,03572;52,10898
1991;1;15;-3,54;7,35;97,5434;48,27812
1991;1;16;-5,95;6,11;93,54627;35,96211
1991;1;17;-3,83;8,85;88,24167;38,23785
1991;1;18;-4,29;8,35;95,38142;39,20586
1991;1;19;-5,29;6,65;93,84054;29,94319
1991;1;20;-8,71;3,79;73,13099;22,34878
1991;1;21;-10,64;3,44;76,06858;23,2197
1991;1;22;-8,6;6,08;70,36098;25,29692
1991;1;23;-6,58;6,81;76,09271;27,87669
1991;1;24;-6,97;7,14;78,8;28,4928
1991;1;25;-7,89;6,3;72,26632;25,63811
1991;1;26;-6,14;6,66;72,83507;26,70694
1991;1;27;-7,38;6,81;64,8977;23,10716
1991;1;28;-7,45;6,77;65,42257;21,38073
1991;1;29;-11,08;3,79;70,61884;21,22491
1991;1;30;-8,66;7,02;53,94201;21,52196
1991;1;31;-6,33;8,42;47,62669;20,22049
1991;2;1;-4,77;10,43;55,973;18,11628
1991;2;2;-1,8;9,78;70,16897;13,75616
1991;2;3;-3,57;10,22;99,4901;39,30061
1991;2;4;-2,59;12,17;93,45521;39,58655
1991;2;5;-1,77;11,04;99,97739;38,63281
1991;2;6;-3,76;10,95;99,73859;47,44275
1991;2;7;-3,6;11,84;99,46211;47,93589
1991;2;8;-3,4;11,28;97,51845;43,15655
1991;2;9;-3,73;11,36;96,74631;37,89865
1991;2;10;-2,97;12,05;86,49032;35,1635
1991;2;11;-2,5;12,82;85,0941;33,42322
1991;2;12;-3,22;11,16;91,94948;30,11198
1991;2;13;-0,31;12,05;94,33672;32,75386
1991;2;14;-1,72;14,92;99,22478;49,65078
1991;2;15;-0,15;16,07;96,63572;39,41406
1991;2;16;0,07;12,79;98,04766;33,3579
1991;2;17;-3,86;6,98;97,41845;30,33989
1991;2;18;-6,53;6,82;98,14731;42,1572
1991;2;19;-4,37;13,13;97,1947;38,41649
1991;2;20;-1,85;14,56;77,34922;27,38346
1991;2;21;-1,1;15,98;54,60612;19,17418
1991;2;22;1,11;14,96;54,17543;19,16827
1991;2;23;-3,92;11,74;85,87799;17,36871
1991;2;24;-5,01;11,15;64,20456;22,76363
1991;2;25;-4,56;12,33;67,95951;22,78056
1991;2;26;-3,18;14,43;65,42357;23,67457
1991;2;27;-1,66;16,78;52,45864;18,88064
1991;2;28;0,39;11,48;89,75078;15,54136
1991;3;1;0,59;10,96;99,44957;35,66749
1991;3;2;-2,57;9,09;96,51389;35,45942
1991;3;3;-0,66;8,81;100;53,35829
1991;3;4;0,26;11,23;100;55,10547
1991;3;5;-3,88;5,66;97,49705;45,20729
1991;3;6;-5,87;2,23;81,02114;41,94865
1991;3;7;-6,24;5,65;99,13038;43,89414
1991;3;8;-4,58;8,46;97,60035;42,42348
1991;3;9;-2,7;10,71;88,87066;36,98099
1991;3;10;-2,96;6,39;90,12791;32,15148
1991;3;11;-6,05;3,63;91,89028;37,8033
1991;3;12;-4,55;6,28;99,16424;40,23672
1991;3;13;-2,15;6,56;99,25234;50,04388
1991;3;14;-3,22;5,3;98,89579;42,57708
1991;3;15;-4,95;4,16;98,00651;43,09909
1991;3;16;-4,97;6,18;99,36372;46,69102
1991;3;17;-2,96;8,61;97,82687;43,76098
1991;3;18;-1,35;9,11;93,77509;41,06771
1991;3;19;-2,11;6,45;99,89935;36,68268
1991;3;20;-4,31;6,51;96,749;42,69614
1991;3;21;-3,07;9,55;98,83238;46,64913
1991;3;22;-4,13;7,84;97,67023;37,07652
1991;3;23;-2,49;7,66;97,67266;37,40551
1991;3;24;-2,19;6,65;96,20543;41,74692
1991;3;25;-2,4;6,79;99,67483;36,77205
1991;3;26;-4,26;5,92;77,32891;33,13359
1991;3;27;-4,06;8,51;78,44909;34,50543
1991;3;28;-3,14;11,29;82,37543;32,88724
1991;3;29;-3,5;10,51;81,46263;30,89253
1991;3;30;-0,91;13,88;78,78082;36,36714
1991;3;31;0,62;15,92;79,49336;30,67747
1991;4;1;2,4;15,59;81,9069;26,60495
1991;4;2;-1,47;12,29;98,71168;29,6398
1991;4;3;-0,59;16,74;81,46007;29,77344
1991;4;4;3,69;18,42;72,79262;24,58173
1991;4;5;3,19;15,68;72,22839;26,99123
1991;4;6;1,48;11,87;95,21966;35,4151
1991;4;7;-4,57;8,43;90,6447;32,07513
1991;4;8;-4,25;12;69,53003;28,80938
1991;4;9;-0,16;13,14;74,10022;25,75391
1991;4;10;-5,94;5,85;67,26155;27,48112
1991;4;11;-7,04;7,59;84,66884;30,13099
1991;4;12;-3,47;11,72;88,52257;31,03125
1991;4;13;-1,64;15,52;86,97617;27,73277
1991;4;14;-0,57;15,22;73,45035;23,8201
1991;4;15;-0,11;11,5;89,13077;26,68893
1991;4;16;-2,47;10,1;94,424;28,63281
1991;4;17;-2,16;10,67;94,30265;33,45048
1991;4;18;-0,64;13,37;92,21011;33,2855
1991;4;19;2,21;16,25;72,5444;25,21133
1991;4;20;3,74;15,4;60,51107;23,42999
1991;4;21;-0,39;13,53;99,20942;27,09822
1991;4;22;1,96;16,69;98,22088;35,36402
1991;4;23;1,4;15,93;97,91463;29,23594
1991;4;24;2,05;12,55;73,45855;34,21866
1991;4;25;-2,54;7,2;95,61545;39,07218
1991;4;26;-3,18;8,7;95,30317;41,88542
1991;4;27;-4,02;10,87;91,64253;32,40616
1991;4;28;-3,49;15,04;78,80599;28,70122
1991;4;29;-2,05;12,34;96,18906;24,02969
1991;4;30;-2,64;16,11;60,20477;23,23394
1991;5;1;1,51;13,94;85,63203;20,01519
1991;5;2;0,6;10,93;89,99162;32,84674
1991;5;3;0,93;13,33;88,5589;32,89232
1991;5;4;3,85;17,28;65,69965;28,74575
1991;5;5;4,31;19,92;62,55386;26,80317
1991;5;6;6,6;17,77;73,74457;24,77088
1991;5;7;3,27;19,13;85,80569;35,45095
1991;5;8;2,71;14,98;85,19805;34,6299
1991;5;9;-1,89;9,29;80,51198;27,65447
1991;5;10;-2,26;9,46;82,89557;28,09089
1991;5;11;0,4;13,13;87,58958;34,75968
1991;5;12;1,82;13,81;97,38494;37,22956
1991;5;13;4,37;14,03;89,9957;41,47044
1991;5;14;1,23;15,79;98,65395;36,87131
1991;5;15;1,16;19,51;70,93872;25,6628
1991;5;16;5;18,91;72,99119;23,10221
1991;5;17;0,86;11,06;98,45807;28,2355
1991;5;18;-1,35;9,21;99,4375;45,66944
1991;5;19;-1,09;11,65;99,74249;50,06567
1991;5;20;1,71;12,33;99,84349;49,52743
1991;5;21;1,36;20,19;99,45217;39,17682
1991;5;22;5,37;22,26;83,43186;32,04141
1991;5;23;5,72;22,98;62,85655;24,68785
1991;5;24;6,71;23,84;72,47235;25,09579
1991;5;25;5,9;19,98;82,57409;23,28915
1991;5;26;1,45;16,25;67,34887;21,31124
1991;5;27;0,27;17,46;62,1398;21,51775
1991;5;28;3,95;20,08;48,51693;18,56497
1991;5;29;3,05;17,43;77,23798;17,5474
1991;5;30;1,94;11,37;96,42687;28,6319
1991;5;31;-1,08;19,53;94,73802;36,34553
1991;6;1;4,4;23,83;90,50347;29,75477
1991;6;2;8,57;26,04;63,29983;24,32383
1991;6;3;9,17;25,13;81,03299;22,8276
1991;6;4;6,47;22,03;72,51024;24,28268
1991;6;5;1,05;16,29;86,15048;23,2951
1991;6;6;2,96;20,39;61,43212;23,8924
1991;6;7;4,93;22,9;72,10187;24,84583
1991;6;8;8,3;25,68;62,88034;24,68294
1991;6;9;10,34;28,47;63,74327;23,14822
1991;6;10;12,67;30,43;45,42843;17,50807
1991;6;11;12,65;29,12;64,49531;15,08411
1991;6;12;10,13;26,79;50,64579;16,7322
1991;6;13;5,78;22,15;69,41124;16,85786
1991;6;14;2,73;21,13;75,09931;16,07326
1991;6;15;6,35;25,76;38,91159;14,13051
1991;6;16;6,55;24,3;65,44336;13,56037
1991;6;17;5,7;25,39;59,88607;16,63047
1991;6;18;8,84;26,91;45,41523;14,20477
1991;6;19;7,57;21,51;47,71441;13,03559
1991;6;20;2,95;21,46;92,17435;16,52786
1991;6;21;4,93;22,73;52,82378;16,70803
1991;6;22;4,99;23,73;60,54336;15,6355
1991;6;23;6,07;24,21;53,43698;15,01289
1991;6;24;5,31;21,34;74,20113;14,73867
1991;6;25;5,07;22,02;84,87995;25,05729
1991;6;26;5,34;19,08;85,39566;24,56766
1991;6;27;8,48;22,95;71,37622;27,46727
1991;6;28;6,03;18,43;99,59297;26,85729
1991;6;29;5,01;18,33;100;44,59627
